Department,Salary,Year
Community Services,"85,950.64",2011
Engineering Services,"85,248.81",2011
Fire and Rescue Services,"82,246.38",2011
Fire and Rescue Services,"89,503.39",2011
Law Department,"255,401.79",2011
Fire and Rescue Services,"88,580.82",2011
Human Resource Services,"93,914.23",2011
Fire and Rescue Services,"76,228.52",2011
Fire and Rescue Services,"82,286.40",2011
Fire and Rescue Services,"85,296.55",2011
Engineering Services,"91,613.17",2011
Fire and Rescue Services,"78,185.22",2011
Fire and Rescue Services,"81,842.22",2011
Engineering Services,"96,331.98",2011
Engineering Services,"103,632.26",2011
Fire and Rescue Services,"101,084.55",2011
Board of Parks & Recreation,"128,357.83",2011
City Clerk's Office,"152,052.69",2011
Fire and Rescue Services,"98,447.69",2011
Community Services,"86,447.27",2011
Board of Parks & Recreation,"111,205.16",2011
Community Services,"84,847.71",2011
Community Services,"84,847.74",2011
Fire and Rescue Services,"98,065.22",2011
Fire and Rescue Services,"79,428.28",2011
Engineering Services,"102,935.30",2011
Fire and Rescue Services,"84,037.04",2011
Fire and Rescue Services,"88,214.47",2011
Board of Parks & Recreation,"85,999.23",2011
Vancouver Public Library Board,"77,951.44",2011
Fire and Rescue Services,"121,224.53",2011
Engineering Services,"102,935.30",2011
Engineering Services,"75,712.10",2011
Engineering Services,"152,252.74",2011
Engineering Services,"111,158.90",2011
Fire and Rescue Services,"87,468.26",2011
Fire and Rescue Services,"81,454.72",2011
Business Planning & Services,"78,886.31",2011
Community Services,"86,761.55",2011
Community Services,"85,828.71",2011
Vancouver Public Library Board,"79,701.69",2011
Engineering Services,"76,961.38",2011
Fire and Rescue Services,"93,174.46",2011
Financial Services,"94,474.73",2011
Fire and Rescue Services,"102,704.94",2011
Fire and Rescue Services,"85,730.59",2011
Community Services,"106,637.95",2011
Engineering Services,"79,018.06",2011
Fire and Rescue Services,"81,037.30",2011
Community Services,"84,526.40",2011
Engineering Services,"81,843.97",2011
Engineering Services,"87,118.46",2011
Fire and Rescue Services,"81,592.59",2011
Fire and Rescue Services,"75,429.52",2011
Vancouver Public Library Board,"77,814.49",2011
Engineering Services,"76,257.12",2011
Fire and Rescue Services,"94,404.25",2011
Fire and Rescue Services,"82,503.28",2011
Fire and Rescue Services,"82,152.51",2011
Fire and Rescue Services,"77,885.67",2011
Fire and Rescue Services,"82,286.40",2011
Vancouver Public Library Board,"93,229.92",2011
Engineering Services,"85,038.76",2011
Fire and Rescue Services,"77,683.66",2011
Financial Services,"86,813.66",2011
Fire and Rescue Services,"85,278.32",2011
Financial Services,"94,545.12",2011
Fire and Rescue Services,"80,611.41",2011
Financial Services,"90,319.41",2011
Engineering Services,"105,070.10",2011
Engineering Services,"75,754.12",2011
Fire and Rescue Services,"77,380.91",2011
Engineering Services,"81,027.44",2011
Fire and Rescue Services,"153,084.44",2011
Fire and Rescue Services,"97,650.85",2011
Engineering Services,"136,292.80",2011
Engineering Services,"76,090.86",2011
Engineering Services,"98,730.53",2011
Fire and Rescue Services,"95,323.27",2011
Engineering Services,"75,423.80",2011
Engineering Services,"129,557.12",2011
Office of the City Manager,"103,496.34",2011
Board of Parks & Recreation,"83,668.60",2011
Financial Services,"99,883.84",2011
Engineering Services,"100,148.76",2011
Engineering Services,"106,138.37",2011
Fire and Rescue Services,"97,317.30",2011
Fire and Rescue Services,"79,879.90",2011
Fire and Rescue Services,"83,417.44",2011
Fire and Rescue Services,"80,418.45",2011
Vancouver Public Library Board,"79,628.90",2011
City Clerk's Office,"78,328.80",2011
Financial Services,"78,367.70",2011
Engineering Services,"75,504.99",2011
Business Planning & Services,"81,747.36",2011
Fire and Rescue Services,"84,446.21",2011
Engineering Services,"76,322.14",2011
City Clerk's Office,"76,341.40",2011
Fire and Rescue Services,"80,365.08",2011
Law Department,"165,887.86",2011
Financial Services,"82,677.32",2011
Board of Parks & Recreation,"91,472.18",2011
Board of Parks & Recreation,"147,373.67",2011
Financial Services,"105,355.02",2011
Engineering Services,"185,269.30",2011
Community Services,"86,502.61",2011
Engineering Services,"80,383.71",2011
Engineering Services,"114,544.02",2011
Fire and Rescue Services,"110,766.39",2011
Financial Services,"129,557.12",2011
Fire and Rescue Services,"78,178.80",2011
Board of Parks & Recreation,"79,487.07",2011
Engineering Services,"113,399.65",2011
Fire and Rescue Services,"91,925.10",2011
Board of Parks & Recreation,"96,333.51",2011
Engineering Services,"109,441.63",2011
Fire and Rescue Services,"77,264.93",2011
Engineering Services,"77,489.54",2011
Fire and Rescue Services,"97,656.87",2011
Fire and Rescue Services,"101,436.94",2011
Board of Parks & Recreation,"113,342.90",2011
Business Planning & Services,"120,000.09",2011
Financial Services,"79,429.84",2011
Board of Parks & Recreation,"112,637.21",2011
Fire and Rescue Services,"109,220.68",2011
Community Services,"98,602.55",2011
Engineering Services,"86,447.27",2011
Fire and Rescue Services,"82,222.19",2011
Fire and Rescue Services,"83,469.44",2011
Business Planning & Services,"84,209.47",2011
Fire and Rescue Services,"78,562.68",2011
Financial Services,"94,494.88",2011
Financial Services,"105,972.02",2011
Fire and Rescue Services,"78,835.00",2011
Financial Services,"79,738.08",2011
Fire and Rescue Services,"80,209.42",2011
Board of Parks & Recreation,"94,697.87",2011
Fire and Rescue Services,"94,315.99",2011
Engineering Services,"77,994.72",2011
Fire and Rescue Services,"90,103.08",2011
Community Services,"95,420.43",2011
Financial Services,"75,452.20",2011
Engineering Services,"95,288.66",2011
Fire and Rescue Services,"76,111.56",2011
Community Services,"107,159.40",2011
Fire and Rescue Services,"82,840.66",2011
Community Services,"84,847.72",2011
Fire and Rescue Services,"77,997.52",2011
Engineering Services,"130,939.02",2011
Engineering Services,"129,767.12",2011
Engineering Services,"78,415.26",2011
Fire and Rescue Services,"78,623.90",2011
Fire and Rescue Services,"80,300.54",2011
Engineering Services,"103,632.27",2011
Board of Parks & Recreation,"128,457.92",2011
Fire and Rescue Services,"80,681.07",2011
Vancouver Public Library Board,"97,141.87",2011
Community Services,"106,713.57",2011
Office of the City Manager,"76,563.32",2011
Board of Parks & Recreation,"89,816.40",2011
Fire and Rescue Services,"134,339.94",2011
Financial Services,"75,464.92",2011
Fire and Rescue Services,"92,224.64",2011
Community Services,"77,918.23",2011
Fire and Rescue Services,"89,539.17",2011
Engineering Services,"78,349.33",2011
Vancouver Public Library Board,"106,363.32",2011
Fire and Rescue Services,"78,590.70",2011
Community Services,"106,523.24",2011
Board of Parks & Recreation,"75,852.67",2011
Fire and Rescue Services,"91,016.22",2011
Fire and Rescue Services,"98,446.09",2011
Fire and Rescue Services,"80,267.24",2011
Business Planning & Services,"129,557.12",2011
Community Services,"86,437.36",2011
Fire and Rescue Services,"83,142.97",2011
Vancouver Public Library Board,"105,972.02",2011
Engineering Services,"79,014.90",2011
Fire and Rescue Services,"89,397.02",2011
Fire and Rescue Services,"100,897.92",2011
Engineering Services,"81,843.86",2011
Fire and Rescue Services,"80,367.29",2011
Engineering Services,"76,738.69",2011
Engineering Services,"84,720.41",2011
Engineering Services,"78,296.23",2011
Board of Parks & Recreation,"106,369.82",2011
Financial Services,"105,972.02",2011
Business Planning & Services,"97,850.77",2011
Financial Services,"89,109.79",2011
Fire and Rescue Services,"88,266.11",2011
Fire and Rescue Services,"81,396.90",2011
Board of Parks & Recreation,"91,472.18",2011
Board of Parks & Recreation,"86,715.16",2011
Financial Services,"86,990.70",2011
Fire and Rescue Services,"81,516.99",2011
Fire and Rescue Services,"78,730.30",2011
Engineering Services,"77,974.82",2011
Engineering Services,"81,161.84",2011
Vancouver Public Library Board,"127,731.19",2011
Business Planning & Services,"157,935.33",2011
Board of Parks & Recreation,"78,714.43",2011
Business Planning & Services,"93,013.96",2011
Fire and Rescue Services,"88,982.24",2011
Engineering Services,"91,261.19",2011
Fire and Rescue Services,"98,531.50",2011
Engineering Services,"104,519.30",2011
Financial Services,"81,188.03",2011
Vancouver Public Library Board,"82,370.89",2011
Fire and Rescue Services,"89,750.52",2011
Fire and Rescue Services,"124,483.53",2011
Financial Services,"100,460.49",2011
Board of Parks & Recreation,"84,133.28",2011
Law Department,"152,124.02",2011
Fire and Rescue Services,"76,985.78",2011
Fire and Rescue Services,"110,216.13",2011
Engineering Services,"104,896.90",2011
Fire and Rescue Services,"79,602.88",2011
Fire and Rescue Services,"80,126.16",2011
Fire and Rescue Services,"97,331.56",2011
Fire and Rescue Services,"78,913.94",2011
Fire and Rescue Services,"103,413.91",2011
Fire and Rescue Services,"78,906.30",2011
Engineering Services,"75,905.18",2011
Engineering Services,"81,188.03",2011
Board of Parks & Recreation,"91,472.18",2011
Vancouver Public Library Board,"81,447.92",2011
Fire and Rescue Services,"93,082.09",2011
Engineering Services,"77,855.81",2011
Fire and Rescue Services,"97,615.80",2011
Fire and Rescue Services,"92,440.66",2011
Engineering Services,"106,105.67",2011
Engineering Services,"77,185.60",2011
Fire and Rescue Services,"114,044.23",2011
Engineering Services,"82,642.26",2011
Human Resource Services,"97,249.67",2011
Board of Parks & Recreation,"83,411.94",2011
Fire and Rescue Services,"83,796.88",2011
Board of Parks & Recreation,"91,259.99",2011
Human Resource Services,"93,063.56",2011
Fire and Rescue Services,"94,315.80",2011
Fire and Rescue Services,"81,867.28",2011
Engineering Services,"77,578.48",2011
Fire and Rescue Services,"97,170.76",2011
Community Services,"95,194.23",2011
Engineering Services,"86,982.27",2011
Fire and Rescue Services,"85,146.15",2011
Business Planning & Services,"93,548.40",2011
Fire and Rescue Services,"81,081.13",2011
Fire and Rescue Services,"82,778.78",2011
Fire and Rescue Services,"82,550.10",2011
Engineering Services,"78,138.93",2011
Law Department,"152,123.92",2011
Fire and Rescue Services,"101,316.44",2011
Law Department,"97,881.70",2011
Financial Services,"94,143.09",2011
Community Services,"83,091.92",2011
Fire and Rescue Services,"80,989.88",2011
Fire and Rescue Services,"80,994.92",2011
Fire and Rescue Services,"78,835.11",2011
Fire and Rescue Services,"91,474.96",2011
Community Services,"105,622.45",2011
Engineering Services,"85,699.89",2011
Fire and Rescue Services,"93,796.26",2011
Fire and Rescue Services,"81,561.44",2011
Fire and Rescue Services,"78,686.26",2011
Engineering Services,"82,172.62",2011
Board of Parks & Recreation,"94,143.07",2011
Financial Services,"87,043.87",2011
Fire and Rescue Services,"79,533.40",2011
Fire and Rescue Services,"79,466.90",2011
Engineering Services,"75,724.29",2011
Fire and Rescue Services,"77,923.54",2011
Fire and Rescue Services,"93,800.95",2011
Community Services,"108,343.17",2011
Engineering Services,"81,943.83",2011
Engineering Services,"81,298.53",2011
Fire and Rescue Services,"89,821.06",2011
Human Resource Services,"106,374.06",2011
Fire and Rescue Services,"104,104.20",2011
Fire and Rescue Services,"93,573.25",2011
Fire and Rescue Services,"79,679.26",2011
Fire and Rescue Services,"80,056.36",2011
Community Services,"87,587.94",2011
City Clerk's Office,"94,557.07",2011
Community Services,"111,348.41",2011
Fire and Rescue Services,"78,084.96",2011
Business Planning & Services,"96,632.79",2011
Financial Services,"95,779.84",2011
Fire and Rescue Services,"98,014.39",2011
Community Services,"81,825.48",2011
Fire and Rescue Services,"78,590.70",2011
Law Department,"134,298.70",2011
Engineering Services,"80,173.77",2011
Board of Parks & Recreation,"99,521.89",2011
Board of Parks & Recreation,"85,128.48",2011
Community Services,"86,010.83",2011
Office of the City Manager,"81,188.04",2011
Fire and Rescue Services,"80,969.94",2011
Fire and Rescue Services,"78,110.20",2011
Fire and Rescue Services,"81,063.34",2011
Law Department,"154,240.63",2011
Fire and Rescue Services,"79,669.41",2011
Fire and Rescue Services,"82,101.91",2011
Community Services,"113,381.35",2011
Fire and Rescue Services,"85,328.49",2011
Engineering Services,"84,593.01",2011
Fire and Rescue Services,"77,919.55",2011
Fire and Rescue Services,"88,537.34",2011
Engineering Services,"75,019.63",2011
Engineering Services,"105,972.02",2011
Engineering Services,"77,071.29",2011
Fire and Rescue Services,"80,071.55",2011
Fire and Rescue Services,"80,929.53",2011
Fire and Rescue Services,"78,664.64",2011
Vancouver Public Library Board,"126,112.43",2011
Financial Services,"80,183.48",2011
Fire and Rescue Services,"80,539.18",2011
Community Services,"98,248.13",2011
Engineering Services,"76,809.50",2011
Engineering Services,"80,092.69",2011
Vancouver Public Library Board,"92,313.32",2011
Fire and Rescue Services,"90,096.50",2011
Fire and Rescue Services,"97,713.69",2011
City Clerk's Office,"104,457.87",2011
Board of Parks & Recreation,"102,266.12",2011
Engineering Services,"89,298.80",2011
Financial Services,"75,904.97",2011
Financial Services,"120,335.99",2011
Vancouver Public Library Board,"78,649.18",2011
Fire and Rescue Services,"78,888.51",2011
Fire and Rescue Services,"77,648.76",2011
Fire and Rescue Services,"79,934.10",2011
Engineering Services,"98,417.64",2011
Community Services,"86,911.81",2011
Community Services,"132,748.59",2011
Financial Services,"86,155.63",2011
Fire and Rescue Services,"100,827.02",2011
Financial Services,"79,811.62",2011
Fire and Rescue Services,"80,209.42",2011
Engineering Services,"103,220.42",2011
Fire and Rescue Services,"92,453.81",2011
Board of Parks & Recreation,"96,500.10",2011
Engineering Services,"80,588.95",2011
Community Services,"86,410.10",2011
Engineering Services,"105,972.02",2011
Office of the City Manager,"140,343.84",2011
Fire and Rescue Services,"92,392.03",2011
Community Services,"86,000.57",2011
Engineering Services,"79,690.66",2011
Fire and Rescue Services,"78,346.72",2011
Board of Parks & Recreation,"127,075.90",2011
Office of the City Manager,"79,988.06",2011
Fire and Rescue Services,"76,741.81",2011
Community Services,"93,672.32",2011
Fire and Rescue Services,"79,777.18",2011
Fire and Rescue Services,"98,147.42",2011
Fire and Rescue Services,"80,109.74",2011
Engineering Services,"75,238.05",2011
Fire and Rescue Services,"80,789.03",2011
Community Services,"85,828.73",2011
Engineering Services,"94,652.83",2011
Fire and Rescue Services,"79,881.86",2011
Law Department,"155,047.84",2011
Board of Parks & Recreation,"104,962.76",2011
Financial Services,"102,207.87",2011
Community Services,"86,447.27",2011
Fire and Rescue Services,"103,415.76",2011
Fire and Rescue Services,"113,527.84",2011
Fire and Rescue Services,"83,368.33",2011
Community Services,"85,364.38",2011
Engineering Services,"111,158.90",2011
Financial Services,"91,694.32",2011
Engineering Services,"90,142.69",2011
Community Services,"107,337.62",2011
Financial Services,"129,601.22",2011
Fire and Rescue Services,"98,264.46",2011
Engineering Services,"151,527.32",2011
Fire and Rescue Services,"78,230.28",2011
Fire and Rescue Services,"84,696.74",2011
Fire and Rescue Services,"77,228.01",2011
Fire and Rescue Services,"76,602.12",2011
Fire and Rescue Services,"81,019.84",2011
Office of the City Manager,"76,052.78",2011
Fire and Rescue Services,"82,676.10",2011
Fire and Rescue Services,"78,573.40",2011
Fire and Rescue Services,"80,863.20",2011
Fire and Rescue Services,"80,160.96",2011
Fire and Rescue Services,"82,949.08",2011
Engineering Services,"103,120.34",2011
Community Services,"77,614.16",2011
Fire and Rescue Services,"78,673.53",2011
Fire and Rescue Services,"93,729.82",2011
Community Services,"97,531.54",2011
Community Services,"78,685.48",2011
Fire and Rescue Services,"98,598.42",2011
Community Services,"95,039.84",2011
Law Department,"153,814.63",2011
Financial Services,"95,392.19",2011
Fire and Rescue Services,"130,210.99",2011
Board of Parks & Recreation,"77,605.95",2011
Engineering Services,"77,664.42",2011
Fire and Rescue Services,"99,030.36",2011
Engineering Services,"76,635.31",2011
Business Planning & Services,"129,557.12",2011
Financial Services,"118,232.80",2011
Fire and Rescue Services,"76,977.03",2011
Community Services,"105,972.02",2011
Community Services,"95,445.96",2011
Community Services,"81,188.03",2011
Board of Parks & Recreation,"92,953.87",2011
Fire and Rescue Services,"99,850.68",2011
Financial Services,"79,916.43",2011
Financial Services,"103,624.39",2011
Engineering Services,"80,977.40",2011
Fire and Rescue Services,"97,688.77",2011
Vancouver Public Library Board,"105,833.21",2011
Engineering Services,"75,771.09",2011
Community Services,"85,936.73",2011
Fire and Rescue Services,"80,102.68",2011
Financial Services,"110,310.56",2011
Business Planning & Services,"109,079.39",2011
Community Services,"93,708.62",2011
Fire and Rescue Services,"110,235.15",2011
Office of the City Manager,"120,000.10",2011
Community Services,"79,482.10",2011
Engineering Services,"102,935.30",2011
Fire and Rescue Services,"79,674.66",2011
Fire and Rescue Services,"93,261.49",2011
Community Services,"123,641.35",2011
Financial Services,"94,143.09",2011
Fire and Rescue Services,"90,609.05",2011
Fire and Rescue Services,"78,795.70",2011
Fire and Rescue Services,"79,320.98",2011
Fire and Rescue Services,"78,909.69",2011
Community Services,"120,029.50",2011
Fire and Rescue Services,"80,621.36",2011
Engineering Services,"103,467.54",2011
Engineering Services,"78,931.13",2011
Community Services,"79,545.40",2011
Vancouver Public Library Board,"83,183.55",2011
Vancouver Public Library Board,"112,067.90",2011
Financial Services,"249,914.41",2011
Fire and Rescue Services,"78,026.76",2011
Community Services,"79,437.44",2011
Engineering Services,"106,553.42",2011
Engineering Services,"81,428.48",2011
Board of Parks & Recreation,"83,997.45",2011
Fire and Rescue Services,"86,835.46",2011
Financial Services,"129,557.12",2011
Financial Services,"105,972.02",2011
Human Resource Services,"94,143.07",2011
Financial Services,"76,138.38",2011
Fire and Rescue Services,"78,632.50",2011
Community Services,"89,292.25",2011
Community Services,"95,194.40",2011
Fire and Rescue Services,"75,133.14",2011
Fire and Rescue Services,"85,513.17",2011
Fire and Rescue Services,"76,259.90",2011
Fire and Rescue Services,"78,123.92",2011
Community Services,"128,940.03",2011
Human Resource Services,"109,278.26",2011
Engineering Services,"103,558.69",2011
Engineering Services,"75,144.75",2011
Community Services,"88,055.37",2011
Financial Services,"93,524.30",2011
Vancouver Public Library Board,"79,195.01",2011
Financial Services,"95,320.48",2011
Community Services,"98,255.53",2011
Fire and Rescue Services,"76,023.92",2011
EEO Program,"94,143.10",2011
Fire and Rescue Services,"89,502.58",2011
Community Services,"93,503.36",2011
Fire and Rescue Services,"76,532.08",2011
Office of the City Manager,"239,244.67",2011
Community Services,"152,302.24",2011
Fire and Rescue Services,"88,755.97",2011
Engineering Services,"101,720.34",2011
Engineering Services,"87,280.22",2011
Financial Services,"113,284.58",2011
Engineering Services,"76,596.78",2011
Board of Parks & Recreation,"120,461.11",2011
Law Department,"152,794.70",2011
Fire and Rescue Services,"100,376.49",2011
Board of Parks & Recreation,"105,995.10",2011
Fire and Rescue Services,"76,117.20",2011
Community Services,"84,847.71",2011
Engineering Services,"224,834.46",2011
Financial Services,"79,630.06",2011
Community Services,"86,010.83",2011
Community Services,"81,112.07",2011
Fire and Rescue Services,"97,066.76",2011
Financial Services,"130,106.38",2011
Engineering Services,"76,020.19",2011
Fire and Rescue Services,"77,927.92",2011
Engineering Services,"130,076.50",2011
Fire and Rescue Services,"76,303.84",2011
Fire and Rescue Services,"91,043.17",2011
Financial Services,"104,604.38",2011
Community Services,"84,020.41",2011
Fire and Rescue Services,"90,904.84",2011
Financial Services,"94,143.07",2011
Engineering Services,"75,429.25",2011
Vancouver Public Library Board,"111,205.15",2011
Engineering Services,"76,926.86",2011
Engineering Services,"111,158.91",2011
EEO Program,"86,621.27",2011
Financial Services,"94,143.08",2011
Engineering Services,"84,254.85",2011
Fire and Rescue Services,"77,042.80",2011
Community Services,"78,456.41",2011
Fire and Rescue Services,"84,023.26",2011
Financial Services,"94,143.09",2011
Financial Services,"106,379.00",2011
Community Services,"80,266.71",2011
Engineering Services,"102,935.31",2011
Fire and Rescue Services,"83,351.78",2011
Fire and Rescue Services,"85,482.87",2011
Fire and Rescue Services,"103,256.52",2011
Engineering Services,"81,763.02",2011
Fire and Rescue Services,"82,415.40",2011
Fire and Rescue Services,"79,205.66",2011
Fire and Rescue Services,"84,322.31",2011
Engineering Services,"105,002.66",2011
Fire and Rescue Services,"93,717.82",2011
Engineering Services,"78,734.33",2011
Law Department,"165,031.18",2011
Human Resource Services,"94,150.51",2011
Engineering Services,"79,595.78",2011
Engineering Services,"85,074.57",2011
Financial Services,"111,769.12",2011
Fire and Rescue Services,"79,839.73",2011
Fire and Rescue Services,"103,691.79",2011
Community Services,"79,563.45",2011
Fire and Rescue Services,"81,930.60",2011
Fire and Rescue Services,"81,009.97",2011
Fire and Rescue Services,"79,358.38",2011
Engineering Services,"152,346.93",2011
Fire and Rescue Services,"80,744.00",2011
Fire and Rescue Services,"82,434.79",2011
Fire and Rescue Services,"75,148.92",2011
Engineering Services,"106,152.03",2011
Office of the City Manager,"87,661.99",2011
Fire and Rescue Services,"104,153.64",2011
Board of Parks & Recreation,"80,618.62",2011
Community Services,"75,408.89",2011
Community Services,"85,574.13",2011
Board of Parks & Recreation,"109,955.14",2011
EEO Program,"94,583.19",2011
Fire and Rescue Services,"89,671.22",2011
Engineering Services,"106,212.02",2011
Financial Services,"94,143.07",2011
Engineering Services,"84,729.06",2011
Business Planning & Services,"106,029.77",2011
Fire and Rescue Services,"79,136.00",2011
Engineering Services,"96,734.14",2011
Community Services,"85,828.71",2011
Engineering Services,"89,782.03",2011
Fire and Rescue Services,"84,109.88",2011
Financial Services,"151,366.95",2011
Financial Services,"129,557.12",2011
Engineering Services,"82,186.95",2011
Community Services,"93,610.35",2011
Financial Services,"94,692.34",2011
Financial Services,"94,143.07",2011
Board of Parks & Recreation,"170,026.78",2011
Fire and Rescue Services,"77,155.88",2011
Financial Services,"79,738.05",2011
Engineering Services,"102,776.49",2011
Community Services,"96,940.74",2011
Business Planning & Services,"114,957.67",2011
Board of Parks & Recreation,"95,641.74",2011
Fire and Rescue Services,"102,516.40",2011
Engineering Services,"75,531.87",2011
Engineering Services,"129,952.32",2011
Fire and Rescue Services,"75,659.76",2011
Financial Services,"109,506.39",2011
Fire and Rescue Services,"78,067.56",2011
Engineering Services,"76,362.58",2011
Fire and Rescue Services,"121,178.66",2011
Office of the City Manager,"83,853.46",2011
Community Services,"94,201.92",2011
Fire and Rescue Services,"125,310.55",2011
Community Services,"75,069.99",2011
Fire and Rescue Services,"103,841.00",2011
Community Services,"80,488.99",2011
Engineering Services,"102,935.33",2011
Fire and Rescue Services,"87,173.70",2011
Engineering Services,"105,373.56",2011
Fire and Rescue Services,"98,755.80",2011
Fire and Rescue Services,"80,038.10",2011
Engineering Services,"80,041.39",2011
Fire and Rescue Services,"92,360.60",2011
Fire and Rescue Services,"75,992.33",2011
Community Services,"82,053.56",2011
Office of the City Manager,"77,310.85",2011
Community Services,"111,295.16",2011
Business Planning & Services,"106,374.06",2011
Financial Services,"80,536.02",2011
Fire and Rescue Services,"78,307.43",2011
Fire and Rescue Services,"140,910.88",2011
Financial Services,"94,545.11",2011
Engineering Services,"75,117.71",2011
Community Services,"81,595.66",2011
Financial Services,"111,607.19",2011
Engineering Services,"76,556.81",2011
Community Services,"90,012.86",2011
Fire and Rescue Services,"77,369.56",2011
Fire and Rescue Services,"97,370.70",2011
Law Department,"140,741.17",2011
Engineering Services,"96,698.65",2011
Financial Services,"93,243.84",2011
Engineering Services,"81,307.38",2011
Fire and Rescue Services,"77,851.84",2011
Financial Services,"92,560.21",2011
Financial Services,"79,901.08",2011
Financial Services,"177,821.36",2011
Financial Services,"94,638.08",2011
Community Services,"115,531.16",2011
Financial Services,"100,619.29",2011
Community Services,"95,137.54",2011
Business Planning & Services,"89,299.34",2011
Fire and Rescue Services,"82,126.17",2011
Community Services,"110,904.30",2011
Fire and Rescue Services,"83,083.12",2011
Fire and Rescue Services,"82,700.02",2011
Board of Parks & Recreation,"91,472.18",2011
Fire and Rescue Services,"80,447.49",2011
Financial Services,"92,804.83",2011
Office of the City Manager,"77,836.25",2011
Fire and Rescue Services,"79,515.26",2011
Fire and Rescue Services,"134,912.14",2011
Fire and Rescue Services,"82,151.57",2011
Engineering Services,"110,564.70",2011
Financial Services,"81,188.03",2011
Fire and Rescue Services,"98,081.53",2011
Law Department,"158,181.78",2011
Community Services,"85,257.04",2011
Business Planning & Services,"85,243.63",2011
Community Services,"84,241.27",2011
Board of Parks & Recreation,"111,158.90",2011
Fire and Rescue Services,"109,930.52",2011
Financial Services,"105,813.21",2011
Business Planning & Services,"155,573.95",2011
Engineering Services,"81,723.57",2011
Law Department,"144,531.25",2011
Office of the City Manager,"79,183.54",2011
Financial Services,"96,125.66",2011
Law Department,"152,124.15",2011
Office of the City Manager,"90,742.19",2011
Law Department,"164,984.61",2011
Financial Services,"111,276.97",2011
Community Services,"93,851.70",2011
Engineering Services,"95,764.24",2011
Fire and Rescue Services,"129,557.12",2011
Engineering Services,"75,937.42",2011
Fire and Rescue Services,"94,262.91",2011
Financial Services,"114,763.82",2011
Fire and Rescue Services,"79,027.66",2011
Human Resource Services,"84,080.39",2011
Fire and Rescue Services,"78,920.41",2011
Board of Parks & Recreation,"111,906.33",2011
Fire and Rescue Services,"101,210.83",2011
Engineering Services,"86,183.33",2011
Engineering Services,"75,872.16",2011
Engineering Services,"83,423.66",2011
Community Services,"84,662.45",2011
Fire and Rescue Services,"77,125.37",2011
Financial Services,"111,476.66",2011
Engineering Services,"117,563.30",2011
Financial Services,"75,600.41",2011
Financial Services,"111,205.16",2011
Business Planning & Services,"105,972.02",2011
Human Resource Services,"88,696.31",2011
Fire and Rescue Services,"80,518.57",2011
Engineering Services,"76,731.63",2011
Engineering Services,"95,840.84",2011
Engineering Services,"80,935.92",2011
Community Services,"93,980.17",2011
Office of the City Manager,"89,761.82",2011
Engineering Services,"129,771.58",2011
Fire and Rescue Services,"82,628.87",2011
Financial Services,"106,356.02",2011
Fire and Rescue Services,"78,730.11",2011
Fire and Rescue Services,"97,307.73",2011
Community Services,"92,040.90",2011
Engineering Services,"82,750.33",2011
Financial Services,"94,402.59",2011
Fire and Rescue Services,"112,869.53",2011
Fire and Rescue Services,"92,727.08",2011
Law Department,"89,676.31",2011
Engineering Services,"83,688.47",2011
Fire and Rescue Services,"84,759.21",2011
Community Services,"85,528.86",2011
Board of Parks & Recreation,"114,636.21",2011
City Clerk's Office,"124,371.54",2011
Engineering Services,"112,541.31",2011
Financial Services,"93,682.40",2011
Fire and Rescue Services,"78,891.28",2011
Fire and Rescue Services,"77,789.98",2011
Community Services,"85,210.77",2011
Community Services,"85,828.73",2011
Board of Parks & Recreation,"89,552.03",2011
Fire and Rescue Services,"78,974.57",2011
Engineering Services,"92,097.14",2011
Fire and Rescue Services,"82,695.10",2011
Engineering Services,"75,828.68",2011
Mayor & City Council,"109,153.57",2011
Engineering Services,"152,088.93",2011
Board of Parks & Recreation,"78,653.01",2011
Fire and Rescue Services,"90,189.62",2011
Office of the City Manager,"129,860.42",2011
Fire and Rescue Services,"76,282.77",2011
Engineering Services,"75,113.46",2011
Engineering Services,"106,182.62",2011
Board of Parks & Recreation,"130,513.92",2011
Fire and Rescue Services,"86,158.01",2011
Fire and Rescue Services,"104,391.22",2011
Fire and Rescue Services,"79,644.34",2011
Engineering Services,"80,259.92",2011
Business Planning & Services,"105,972.02",2011
Fire and Rescue Services,"83,259.35",2011
Engineering Services,"111,158.95",2011
Financial Services,"111,543.95",2011
Engineering Services,"105,815.77",2011
Fire and Rescue Services,"112,325.57",2011
Board of Parks & Recreation,"104,715.31",2011
Community Services,"79,579.82",2011
Financial Services,"120,000.10",2011
Engineering Services,"80,448.27",2011
Community Services,"78,456.41",2011
Fire and Rescue Services,"87,501.50",2011
Human Resource Services,"81,188.04",2011
Fire and Rescue Services,"80,056.24",2011
Fire and Rescue Services,"89,678.46",2011
Engineering Services,"76,651.79",2011
Community Services,"79,545.40",2011
Fire and Rescue Services,"79,709.62",2011
Fire and Rescue Services,"78,874.57",2011
Community Services,"93,851.70",2011
Engineering Services,"102,527.95",2011
Fire and Rescue Services,"81,030.52",2011
Financial Services,"85,489.47",2011
Engineering Services,"79,017.16",2011
Fire and Rescue Services,"87,857.72",2011
Fire and Rescue Services,"80,536.13",2011
Financial Services,"106,127.72",2011
Community Services,"100,420.43",2011
Fire and Rescue Services,"86,718.87",2011
Community Services,"85,853.75",2011
Financial Services,"99,667.96",2011
Financial Services,"89,021.08",2011
